instance,nodes,UB,best_known,ours_bst78,ours_bst78_time,ours_bst150,CPLEX_LB,CPLEX_UB
path_50.txt,50,25,25,25,2.66,25,25,25
path_51.txt,51,25,25,25,0,25,24,34.75
path_52.txt,52,26,26,26,0.87,26,23,34
path_53.txt,53,26,26,26,0,26,24,31
path_64.txt,64,32,32,32,16.01,32,28,45
path_65.txt,65,32,32,32,0.01,32,28,46.86
path_67.txt,67,33,33,33,0.06,33,29,43
path_70.txt,70,35,35,35,7.04,35,29,50
path_75.txt,75,37,37,37,0,37,31,57
path_76.txt,76,38,38,38,28.17,38,32,57
path_90.txt,90,45,45,44,0,45,34,73
path_100.txt,100,50,50,49,0,50,39,92.13
path_200.txt,200,100,100,99,0,99,50,195.56
path_215.txt,215,107,107,107,0,107,43,209.8
path_216.txt,216,108,108,107,0,107,53,212.12
path_217.txt,217,108,108,108,0,108,35,214.57
path_218.txt,218,109,109,108,0,108,36,214.77
path_219.txt,219,109,109,108,0,108,52,215.59
path_250.txt,250,125,125,124,0,124,33,247.66
path_300.txt,300,150,150,149,0,149,35,293.79
path_400.txt,400,200,200,199,0,199,46,396.62
path_500.txt,500,250,250,249,0,249,15,497.77
path_700.txt,700,350,350,349,0,349,13,697.11
path_1000.txt,1000,500,500,499,0,499,1,999
cycle_50.txt,50,24,24,24,0,24,23,33.9
cycle_51.txt,51,25,25,25,0.02,25,24,30
cycle_52.txt,52,25,25,25,0,25,24,30
cycle_53.txt,53,26,26,26,0.08,26,24,31
cycle_54.txt,54,26,26,26,0,26,23,37
cycle_55.txt,55,27,27,27,0.1,27,26,39.96
cycle_60.txt,60,29,29,29,0,29,26,45.95
cycle_65.txt,65,32,32,32,0.15,32,27,46
cycle_70.txt,70,34,34,34,0,34,29,57.96
cycle_75.txt,75,37,37,37,0.36,37,31,46
cycle_90.txt,90,44,44,44,0,44,34,73
cycle_100.txt,100,49,49,49,0,49,37,93.87
cycle_200.txt,200,99,99,99,0,99,54,197.26
cycle_215.txt,215,107,107,106,0,106,58,210
cycle_216.txt,216,107,107,107,0,107,68,209
cycle_217.txt,217,108,108,107,0,107,60,213.16
cycle_218.txt,218,108,108,108,0,108,56,213.86
cycle_219.txt,219,109,109,108,0,108,39,211.46
cycle_250.txt,250,124,124,124,0,124,45,241.3
cycle_300.txt,300,149,149,149,0,149,77,295
cycle_400.txt,400,199,199,199,0,199,33,397.5
cycle_500.txt,500,249,249,249,0,249,37,496.69
cycle_700.txt,700,349,349,349,0,349,1,699
cycle_1000.txt,1000,499,499,499,0.02,499,1,999
mesh9_9.txt,81,36,36,36,0,36,33,51
mesh10_10.txt,100,45,45,45,0,45,37,88.64
mesh12_12.txt,,66,66,66,0.19,66,55,133.18
mesh20_5.txt,100,48,48,48,0,48,39,89.51
mesh25_4.txt,100,48,48,48,0.25,48,38,90.73
mesh50_2.txt,100,49,49,49,0.09,49,40,91.08
mesh17_6.txt,102,48,48,48,0.25,48,40,91.89
mesh34_3.txt,102,50,50,50,0.04,50,39,83
mesh13_8.txt,104,48,48,48,0,48,38,91.24
mesh15_7.txt,105,49,49,49,0,49,40,94.24
mesh12_9.txt,108,50,50,50,0.28,50,41,97
mesh11_11.txt,121,55,55,55,0.4,55,49,104.58
mesh130_7.txt,910,452,452,448,0.05,448,1,909
mesh120_8.txt,960,476,476,472,0.55,472,1,959
mesh110_9.txt,990,491,491,486,0.31,486,1,989
mesh100_10.txt,1000,495,495,490,0.63,490,1,999
mesh40_25.txt,1000,488,488,475,16.75,475,1,999
mesh50_20.txt,1000,490,490,482,77.7,482,1,999
mesh34_30.txt,1020,495,495,493,54.6,493,1,1019
mesh60_17.txt,1020,502,502,494,54.42,495,1,1019
mesh80_13.txt,1040,514,514,507,0.23,507,1,1039
mesh70_15.txt,1050,518,518,510,0.05,510,1,1049
mesh90_12.txt,1080,534,534,528,1.13,528,1,1079
mesh33_33.txt,1089,528,528,528,63.18,528,1,1088
toroidalmesh_4.txt,16,4,4,4,0,4,4,4
toroidalmesh_5.txt,25,9,9,9,0,9,9,9
toroidalmesh_6.txt,36,12,12,12,0,12,12,20.64
toroidalmesh_7.txt,49,20,20,20,0.24,20,19,27
toroidalmesh_8.txt,64,24,24,24,0,24,23,51.25
toroidalmesh_9.txt,81,35,35,35,0.44,35,31,63
toroidalmesh_10.txt,100,40,40,40,0,40,36,87.24
toroidalmesh_11.txt,121,54,54,54,0.05,54,42,109.95
toroidalmesh_12.txt,144,60,60,60,0,60,39,133
toroidalmesh_13.txt,169,77,77,77,1.01,77,47,159.09
toroidalmesh_14.txt,196,84,84,84,0,84,29,189.38
toroidalmesh_15.txt,225,104,104,104,1.04,104,31,218
toroidalmesh_16.txt,256,112,112,112,0,112,17,253.7
toroidalmesh_17.txt,289,135,135,135,13.82,135,26,281.88
toroidalmesh_18.txt,324,144,144,144,0,144,19,321.38
toroidalmesh_19.txt,361,170,170,169,4.25,170,20,358.6
toroidalmesh_20.txt,400,180,180,180,0,180,19,399
toroidalmesh_21.txt,441,209,209,209,35.15,209,8,439.99
toroidalmesh_22.txt,484,220,220,220,0,220,15,481.54
toroidalmesh_23.txt,529,252,252,252,44.09,252,14,528
toroidalmesh_24.txt,576,264,264,264,0.01,264,1,574.8
toroidalmesh_25.txt,625,299,299,295,77.44,298,18,624
toroidalmesh_26.txt,676,312,312,312,0.1,312,1,674.84
toroidalmesh_27.txt,729,350,350,348,63.21,349,5,728
toroidalmesh_28.txt,784,364,364,364,0.01,364,9,783
toroidalmesh_29.txt,841,405,405,400,69.21,404,1,840
toroidalmesh_30.txt,900,420,420,420,0.01,420,10,899
toroidalmesh_31.txt,961,464,464,440,73.01,457,1,960
toroidalmesh_32.txt,1024,480,480,480,0,480,1,1023
toroidalmesh_33.txt,1089,527,527,501,77.83,511,1,1088
toroidalmesh_34.txt,1156,544,544,544,0.01,544,1,1155
toroidalmesh_35.txt,1225,594,594,568,73.05,579,1,1224
toroidalmesh_36.txt,1296,612,612,612,0,612,1,1295
toroidalmesh_37.txt,1369,665,665,637,77.36,639,1,1368
toroidalmesh_38.txt,1444,684,684,684,0,684,1,1443
toroidalmesh_39.txt,1521,740,740,679,77.83,694,1,1520
toroidalmesh_40.txt,1600,760,760,760,0.01,760,1,1599
hypercube_4_16.txt,16,4,4,4,0,4,4,4
hypercube_5_32.txt,32,9,9,9,0,9,9,17.56
hypercube_6_64.txt,64,19,19,19,0,19,15,48.65
hypercube_7_128.txt,128,41,41,41,0,41,28,116.08
hypercube_8_256.txt,256,85,85,85,0,85,5,253.65
hypercube_9_512.txt,512,178,178,178,0,178,8,511
hypercube_10_1024.txt,1024,364,364,364,0,364,1,1023
cbt_30.txt,30,15,15,14,0.06,14,14,14
cbt_31.txt,31,15,15,15,0.05,15,15,15
cbt_32.txt,32,16,16,15,0.4,15,15,15
cbt_33.txt,33,16,16,15,0.03,15,15,15
cbt_34.txt,34,17,17,16,0.18,16,16,16
cbt_35.txt,35,17,17,16,0.02,16,16,16
cbt_45.txt,45,22,22,21,0,21,21,21
cbt_46.txt,46,23,23,22,0.18,22,22,22
cbt_47.txt,47,23,23,22,0.06,22,22,22
cbt_48.txt,48,24,24,23,0.02,23,23,23
cbt_49.txt,49,24,24,23,0.17,23,23,23
cbt_50.txt,50,25,25,23,0.21,23,23,29
cbt_500.txt,500,250,250,248,74.9,248,9,499
cbt_510.txt,510,255,255,253,62.48,253,30,507.68
