instance,nodes,UB,best_known,ours_bst78,ours_bst78_time,ours_bst150,CPLEX_LB,CPLEX_UB
3dmesh_3.txt,27,12,9,9,0,9,9,10.97
3dmesh_4.txt,64,31,25,25,0.02,25,22,50.61
3dmesh_5.txt,125,61,51,51,0,51,42,114.15
3dmesh_6.txt,216,107,92,92,2.39,92,17,209.34
3dmesh_7.txt,343,170,149,150,10.59,150,17,340.25
3dmesh_8.txt,512,255,228,228,53.52,228,11,509
3dmesh_9.txt,729,363,328,328,25.81,330,1,728
3dmesh_10.txt,1000,499,454,451,53.93,456,1,999
caterpillar_5_4.txt,20,10,10,10,0,10,10,10
caterpillar_5_5.txt,25,12,12,12,0,12,12,12
caterpillar_5_6.txt,30,15,15,15,0,15,15,15
caterpillar_5_7.txt,35,17,17,17,0,17,17,17
caterpillar_9_4.txt,36,18,18,18,0,18,18,18
caterpillar_10_4.txt,40,20,20,20,0,20,20,20
caterpillar_9_5.txt,45,22,22,22,0,22,22,22
caterpillar_10_5.txt,50,25,25,25,0,25,25,25
caterpillar_9_6.txt,54,27,27,27,0,27,27,27
caterpillar_10_6.txt,60,30,30,30,0,30,30,30
caterpillar_15_4.txt,60,30,30,30,0,30,30,30
caterpillar_9_7.txt,63,31,31,31,0,31,28,45.89
caterpillar_10_7.txt,70,35,35,35,0.02,35,32,53.9
caterpillar_15_5.txt,75,37,37,37,0,37,33,55.98
caterpillar_20_4.txt,80,40,40,40,0,40,37,66.39
caterpillar_15_6.txt,90,45,45,45,0,45,39,76
caterpillar_20_5.txt,100,50,50,50,33.88,50,39,91.11
caterpillar_15_7.txt,105,52,52,52,0,52,42,94.11
caterpillar_20_6.txt,120,60,60,60,0.01,60,40,113.85
caterpillar_20_7.txt,140,70,69,70,0.02,70,50,131.82
caterpillar_20_10.txt,200,100,99,100,0.15,100,54,195.95
caterpillar_25_10.txt,250,125,124,125,0.39,125,77,243
caterpillar_20_15.txt,300,150,148,150,1.13,150,74,292.85
caterpillar_30_10.txt,300,150,149,150,0.33,150,49,297.67
caterpillar_35_10.txt,350,175,174,175,0.91,175,39,344
caterpillar_25_15.txt,375,187,185,187,2.2,187,34,368.28
caterpillar_20_20.txt,400,200,197,199,6.73,199,33,398.49
caterpillar_40_10.txt,400,200,199,200,1.2,200,55,396.62
caterpillar_30_15.txt,450,225,222,225,2.81,225,42,445.82
caterpillar_20_25.txt,500,250,247,249,22.36,249,30,499
caterpillar_25_20.txt,500,250,247,250,15.91,250,13,499
caterpillar_35_15.txt,525,262,260,261,5.86,261,24,524
caterpillar_30_20.txt,600,300,297,300,19.53,300,14,598.03
caterpillar_40_15.txt,600,300,297,300,6.2,300,16,596.99
caterpillar_25_25.txt,625,312,309,309,25.7,309,19,622.09
caterpillar_35_20.txt,700,350,347,349,21.49,349,1,699
caterpillar_30_25.txt,750,375,371,373,54.82,373,1,749
caterpillar_40_20.txt,800,400,397,399,37.38,399,1,799
caterpillar_35_25.txt,875,437,433,435,64.76,436,1,874
caterpillar_40_25.txt,1000,500,496,493,67.3,498,1,999
