instance,nodes,UB,best_known,Heuristic_Algo,duplex,mip,mip_time,ours_bst78,ours_bst78_time,ours_bst150,CPLEX_LB,CPLEX_UB
pores_1.mtx.rnd,30,6,6,6,6,6,24,6,0,6,6,8
ibm32.mtx.rnd,32,9,9,9,9,9,2,9,0.49,9,9,9
bcspwr01.mtx.rnd,39,17,17,17,17,17,1,17,0.45,17,17,17
bcsstk01.mtx.rnd,48,9,9,8,9,9,4,9,35.32,9,9,9
bcspwr02.mtx.rnd,49,21,21,21,21,21,5,21,0.21,21,21,21
curtis54.mtx.rnd,54,13,13,13,13,13,5,13,74.03,13,13,13
will57.mtx.rnd,57,13,13,13,13,13,10,13,0.08,13,13,18
impcol_b.mtx.rnd,59,8,8,8,8,8,1,8,0,8,8,24.72
ash85.mtx.rnd,85,27,23,22,23,22,TL,22,4.97,22,17,42
nos4.mtx.rnd,100,40,35,35,35,34,TL,35,12.2,35,29,49.5
dwt__234.mtx.rnd,117,57,51,51,49,51,TL,51,32.9,51,48,95
bcspwr03.mtx.rnd,118,39,39,39,39,39,1,39,0.05,39,39,58
bcsstk06.mtx.rnd,420,38,34,33,34,33,TL,36,1.17,36,4,343.83
bcsstk07.mtx.rnd,420,38,34,33,34,33,TL,36,1.17,36,4,343.83
impcol_d.mtx.rnd,425,141,105,105,99,110,TL,122,33.27,122,8,317
can__445.mtx.rnd,445,120,85,85,-,78,TL,96,35.73,97,9,355.2
494_bus.mtx.rnd,494,246,228,228,-,219,TL,228,71.69,228,31,360.93
dwt__503.mtx.rnd,503,71,62,58,62,56,TL,65,59.5,66,4,430
sherman4.mtx.rnd,546,272,261,261,-,256,TL,261,5.28,261,8,545
dwt__592.mtx.rnd,592,150,113,113,-,103,TL,131,27.55,133,3,492
662_bus.mtx.rnd,662,220,220,220,220,220,193,220,21.92,220,21,528.8
nos6.mtx.rnd,675,337,329,329,-,326,TL,330,22.09,330,1,673.87
685_bus.mtx.rnd,685,136,136,136,136,136,1,136,0.03,136,10,547.2
can__715.mtx.rnd,715,142,121,121,-,112,TL,123,24.7,123,2,595
