instance,nodes,edges,best_known,GSpectral,GRASP,LB_HC,ours,ours_time,CPLEX_LB,CPLEX_UB
dwt_234.mtx,234,300,80,77,*,80,109,37.71,48,95
saylr1.mtx,238,445,111,72,107,111,112,0.34,21,232
grid1.mtx,252,476,116,77,114,116,117,0.05,51,248
nos7.mtx,729,1944,330,177,324,330,330,146.64,1,728
nos5.mtx,468,2352,66,64,66,49,66,0.04,5,380.46
saylr3.mtx,1000,1375,627,249,*,633,641,876.47,1,999
sherman4.mtx,1104,1341,815,274,*,815,816,1091.45,1,1103
netz4504.mtx,1961,2578,671,652,*,671,958,1795.72,1,1960
lshp2614.mtx,2614,7683,512,512,*,337,650,1537.74,-,2613
grid2.mtx,3296,6432,1626,823,*,1626,1623,1.52,-,-
saylr4.mtx,3564,9376,1726,873,*,1726,1727,1670.77,-,-
sherman3.mtx,5005,7514,3509,1246,*,3509,1666,942.95,-,-
ukerbe1.mtx,5981,7852,2054,1990,*,2054,2532,1955.39,-,-
big_dual.mtx,30269,44929,10031,10031,*,6645,12549,1875.96,-,-
ship_001.mtx,34920,2304655,319,*,*,319,406,1850.23,-,-
brack2.mtx,62631,366559,4984,*,*,4984,6919,1941.77,-,-
shipsec8.mtx,114919,3269240,2246,*,*,2246,2632,1968.65,-,-
fcondp2.mtx,201822,5546247,4020,*,*,4020,4101,1967.6,-,-
msdoor.mtx,415863,9912536,8137,*,*,8137,4356,1968.85,-,-
af_shell1.mtx,504855,8542010,14973,*,*,14973,4766,1968.71,-,-
